Название вакансии;Компания;Ссылка;Дата публикации;Когда;Зарплата;Запрос
Менеджер по закупкам;Тайгер Снаб;https://hh.ru/vacancy/125774522;2025-09-25 14:46;вчера;126,603–126,603 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;ВОСТОК ПАК;https://hh.ru/vacancy/125617443;2025-09-25 16:09;вчера;85,000–130,000 RUR;менеджер по закупкам
Начинающий специалист по закупкам;DNS Головной офис;https://hh.ru/vacancy/125627580;2025-09-23 04:05;3 дней назад;92,000–104,000 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;Тарабукин Сергей Олегович;https://hh.ru/vacancy/125228002;2025-09-23 14:08;3 дней назад;от 90,000 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;алгоритм.Снабжение;https://hh.ru/vacancy/125627369;2025-09-23 03:20;3 дней назад;от 100,000 RUR;менеджер по закупкам
Товаровед-менеджер по закупкам (остров Русский);NOVIK COUNTRY CLUB;https://hh.ru/vacancy/125749360;2025-09-25 09:59;вчера;от 100,000 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;Полиметалл;https://hh.ru/vacancy/124348539;2025-09-24 10:48;2 дней назад;108,930–108,930 RUR;менеджер по закупкам
Менеджер по снабжению;Ремонтно-строительная компания КФК;https://hh.ru/vacancy/125460832;2025-09-24 08:02;2 дней назад;от 90,000 RUR;менеджер по закупкам
Главный специалист по закупкам инженерных систем (ЭОМ, СЛС);Стройтранснефтегаз;https://hh.ru/vacancy/125676990;2025-09-24 16:08;2 дней назад;204,000–204,000 RUR;менеджер по закупкам
Менеджер по закупу;Дикий Улов;https://hh.ru/vacancy/125359603;2025-09-24 20:04;2 дней назад;100,000–130,000 RUR;менеджер по закупкам
Менеджер отдела закупа;Церебрум-М;https://hh.ru/vacancy/124988851;2025-09-26 08:22;сегодня;80,000–96,000 RUR;менеджер по закупкам
Менеджер морского снабжения и тендерный специалист (топливо) во Владивостоке;Траст Групп;https://hh.ru/vacancy/124740987;2025-09-26 07:51;сегодня;от 100,000 RUR;менеджер по закупкам
Начинающий специалист по закупкам со знанием английского языка;DNS Головной офис;https://hh.ru/vacancy/125572006;2025-09-25 03:03;вчера;92,000–104,000 RUR;менеджер по закупкам
Специалист по закупкам;Хозяйственное Управление Правительства Приморского Края;https://hh.ru/vacancy/125826506;2025-09-26 09:20;сегодня;75,000–75,000 RUR;менеджер по закупкам
Главный специалист по закупкам технологических трубопроводов;Стройтранснефтегаз;https://hh.ru/vacancy/125676503;2025-09-24 16:08;2 дней назад;204,000–204,000 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;Сиа-Снаб;https://hh.ru/vacancy/122504082;2025-09-26 07:21;сегодня;от 80,000 RUR;менеджер по закупкам
Менеджер по снабжению во Владивостоке;Приморский филиал Мариинского театра;https://hh.ru/vacancy/125818808;2025-09-26 03:32;сегодня;от 55,000 RUR;менеджер по закупкам
Менеджер по закупкам рыбной продукции;Альянс Рыбаков;https://hh.ru/vacancy/122683192;2025-09-24 07:41;2 дней назад;от 80,000 RUR;менеджер по закупкам
Менеджер по закупкам и снабжению;САНТЕХ СКЛАД;https://hh.ru/vacancy/124897306;2025-09-26 06:42;сегодня;80,000–100,000 RUR;менеджер по закупкам
Продакт-менеджер (специалист по закупкам);DNS Головной офис;https://hh.ru/vacancy/125744970;2025-09-25 08:57;вчера;от 92,000 RUR;менеджер по закупкам
Специалист по закупкам;Правительство Приморского Края;https://hh.ru/vacancy/118289351;2025-09-24 02:32;2 дней назад;53,000–85,000 RUR;менеджер по закупкам
Специалист по снабжению;Розничное направление ГК Невада;https://hh.ru/vacancy/125638000;2025-09-23 09:11;3 дней назад;до 70,000 RUR;специалист по закупкам
Специалист отдела контроля в сфере закупок;Правительство Приморского Края;https://hh.ru/vacancy/118288663;2025-09-24 02:32;2 дней назад;52,000–83,000 RUR;специалист по закупкам
Координатор в отдел закупок;Кайрос;https://hh.ru/vacancy/125675643;2025-09-24 03:19;2 дней назад;70,000–75,000 RUR;менеджер по снабжению
Менеджер проектов;Финансовый Дом «Солид»;https://hh.ru/vacancy/125833491;2025-09-26 11:10;сегодня;от 160,000 RUR;менеджер проектов
Менеджере проектов в строительной сфере;Конкрит джангл;https://hh.ru/vacancy/125627404;2025-09-23 03:29;3 дней назад;100,000–115,000 RUR;менеджер проектов
Проектный менеджер;DNS Головной офис;https://hh.ru/vacancy/125818709;2025-09-26 02:46;сегодня;80,000–165,000 RUR;менеджер проектов
Менеджер проектов по продажам цифровых решений для бизнеса;МегаФон;https://hh.ru/vacancy/125718799;2025-09-24 15:29;2 дней назад;не указано;менеджер проектов
Начальник отдела сопровождения проектов;Везувий;https://hh.ru/vacancy/124993438;2025-09-26 09:30;сегодня;100,000–130,000 RUR;менеджер проектов
Менеджер проекта (IP-Телефония, видеонаблюдение);Ростелеком;https://hh.ru/vacancy/124863313;2025-09-23 18:11;3 дней назад;от 110,000 RUR;менеджер проектов
Руководитель проекта;Торговый Дом Эко;https://hh.ru/vacancy/124620299;2025-09-23 08:49;3 дней назад;не указано;менеджер проектов
Менеджер проектов;Алеут фирменная розничная сеть Ратимир;https://hh.ru/vacancy/122174418;2025-09-26 04:08;сегодня;80,000–120,000 RUR;менеджер проектов
Менеджер по реализации проектов в сфере комплаенса;Farpost IT;https://hh.ru/vacancy/125361566;2025-09-26 10:53;сегодня;не указано;менеджер проектов
Руководитель проекта по договорной работе с ЛПУ;Росгосстрах;https://hh.ru/vacancy/125421427;2025-09-26 09:56;сегодня;до 115,000 RUR;менеджер проектов
Менеджер по зарплатным проектам;Банк ВТБ (ПАО);https://hh.ru/vacancy/123550142;2025-09-25 04:07;вчера;не указано;менеджер проектов
Главный инженер проекта;Галс-Девелопмент;https://hh.ru/vacancy/125723501;2025-09-24 16:18;2 дней назад;не указано;менеджер проектов
Руководитель проекта (Жилищное строительство, служба Заказчика);Талан;https://hh.ru/vacancy/125471350;2025-09-26 05:28;сегодня;не указано;менеджер проектов
Руководитель проектов по объектовым продажам (промышленные объекты);Алютех;https://hh.ru/vacancy/123513818;2025-09-26 05:35;сегодня;150,000–180,000 RUR;менеджер проектов
Руководитель портфеля проектов;Лоджистик Форс ДВ;https://hh.ru/vacancy/125742050;2025-09-25 08:15;вчера;от 270,000 RUR;руководитель проектов
Менеджер по работе с проектными организациями/ Инженер по продажам;СТАНДАРТПАРК;https://hh.ru/vacancy/124889208;2025-09-25 17:05;вчера;от 160,000 RUR;project manager
Главный инженер проекта (ГИП);Синтез Прогресса;https://hh.ru/vacancy/125081720;2025-09-24 09:26;2 дней назад;от 140,000 RUR;project manager
