Название вакансии;Компания;Ссылка;Дата публикации;Когда;Зарплата;Запрос
Менеджер по продажам автомобилей;Авто Под Заказ;https://hh.ru/vacancy/125553476;2025-09-26 10:28;сегодня;100,000–300,000 RUR;менеджер по продажам
Менеджер по продажам;ЮК Восточный Бастион (ИП Авилов Андрей Александрович);https://hh.ru/vacancy/125073228;2025-09-24 05:37;2 дней назад;119,000–210,000 RUR;менеджер по продажам
Менеджер активных продаж;Азияисттрейд;https://hh.ru/vacancy/125690023;2025-09-24 10:06;2 дней назад;от 220,000 RUR;менеджер по продажам
Менеджер по продажам автомобилей из Японии;Регион Авто, офис в г. Владивосток (ул. Светланская 83);https://hh.ru/vacancy/115564415;2025-09-25 09:46;вчера;120,000–500,000 RUR;менеджер по продажам
Менеджер по продажам в онлайн-магазин;Интертрейд 21;https://hh.ru/vacancy/124790739;2025-09-23 20:46;2 дней назад;50,000–200,000 RUR;менеджер по продажам
Менеджер по продажам (входящий поток, без холодных звонков);HONKON Россия;https://hh.ru/vacancy/125685275;2025-09-24 09:01;2 дней назад;80,000–200,000 RUR;менеджер по продажам
Региональный менеджер по продажам;БОЯРД;https://hh.ru/vacancy/125581941;2025-09-25 08:44;вчера;от 156,000 RUR;менеджер по продажам
Региональный менеджер по продажам;ДВ-Амур;https://hh.ru/vacancy/125655020;2025-09-23 12:55;3 дней назад;от 150,000 RUR;менеджер по продажам
Менеджер по продажам ( без поиска);Роквелл;https://hh.ru/vacancy/124985927;2025-09-26 07:10;сегодня;от 100,000 RUR;менеджер по продажам
Менеджер по продажам;Транзит;https://hh.ru/vacancy/124792523;2025-09-23 05:37;3 дней назад;150,000–250,000 RUR;менеджер по продажам
Менеджер по продажам автомобилей;CJK MOTORS;https://hh.ru/vacancy/125628869;2025-09-26 06:07;сегодня;100,000–300,000 RUR;менеджер по продажам
Менеджер по продажам строительных материалов;Ермак Групп;https://hh.ru/vacancy/123397871;2025-09-23 10:11;3 дней назад;130,000–300,000 RUR;менеджер по продажам
Менеджер по оптовым продажам;Близар;https://hh.ru/vacancy/124895258;2025-09-23 02:37;3 дней назад;160,000–180,000 RUR;менеджер по продажам
Региональный менеджер по продажам;Группа Компаний LD;https://hh.ru/vacancy/125217069;2025-09-26 12:47;сегодня;от 180,000 RUR;менеджер по продажам
Менеджер по продажам;СДЭК;https://hh.ru/vacancy/125505424;2025-09-25 03:01;вчера;от 93,000 RUR;менеджер по продажам
Менеджер по продаже машин;Ламбин Никита Вячеславович;https://hh.ru/vacancy/124566207;2025-09-24 05:34;2 дней назад;80,000–350,000 RUR;менеджер по продажам
Ассистент менеджера по продажам;Крымов Глеб Владиславович;https://hh.ru/vacancy/125546952;2025-09-24 19:38;2 дней назад;от 5,000 RUR;менеджер по продажам
Менеджер по продажам (высокий доход);Антикор Дв;https://hh.ru/vacancy/123866638;2025-09-25 12:07;вчера;100,000–200,000 RUR;менеджер по продажам
Менеджер по продажам автомобилей;Джамбинов Мингиян Игоревич;https://hh.ru/vacancy/125563958;2025-09-24 07:31;2 дней назад;от 150,000 RUR;менеджер по продажам
Менеджер по продажам;Джапан Транзит;https://hh.ru/vacancy/124986512;2025-09-26 07:21;сегодня;100,000–450,000 RUR;менеджер по продажам
Менеджер по продажам стоматологического оборудования;Оптра;https://hh.ru/vacancy/125643910;2025-09-23 10:20;3 дней назад;от 150,000 RUR;менеджер по продажам
Менеджер/помощник менеджера по продажам (без продаж);ДВ-Снаб;https://hh.ru/vacancy/125001442;2025-09-26 11:02;сегодня;90,000–130,000 RUR;менеджер по продажам
Менеджер по продажам;Искра;https://hh.ru/vacancy/125003408;2025-09-24 10:54;2 дней назад;не указано;менеджер по продажам
Менеджер по оптовым продажам;Вш-Ремстройснаб;https://hh.ru/vacancy/125005631;2025-09-26 11:50;сегодня;150,000–250,000 RUR;менеджер по продажам
Менеджер по продажам косметологического оборудования;Рекрутинговое агентство HRSales;https://hh.ru/vacancy/125725904;2025-09-24 17:09;2 дней назад;от 120,000 RUR;менеджер по продажам
Менеджер по продажам автомобилей;Азия-Моторс;https://hh.ru/vacancy/125722758;2025-09-24 16:05;2 дней назад;от 250,000 RUR;менеджер по продажам
Менеджер по продажам;Русский САПР, группа компаний;https://hh.ru/vacancy/125720308;2025-09-24 15:39;2 дней назад;70,000–250,000 RUR;менеджер по продажам
Менеджер по продажам;КС Сервис;https://hh.ru/vacancy/125627361;2025-09-23 03:17;3 дней назад;от 100,000 RUR;менеджер по продажам
Менеджер по работе с партнёрами / по продажам;Фотокомпания Dobro;https://hh.ru/vacancy/124733710;2025-09-26 01:18;сегодня;80,000–150,000 RUR;менеджер по продажам
Менеджер по продажам автомобилей;Sunrise Auto;https://hh.ru/vacancy/125074756;2025-09-24 06:59;2 дней назад;120,000–200,000 RUR;менеджер по продажам
